question_id,user_input,retrieved_contexts,response,reference,answer_relevancy,context_precision,faithfulness
refund_policy,What is the refund policy?,"['DocQuery Citation: document_id=tmpfxdrb1rw; source_file=company_policy.pdf; page_start=1; page_end=1; section_path=Document; chunk_index=0\n\nAcme Corp — Company Policy\nRefund Policy\nCustomers may request a refund within 30 days of purchase.\nRefund requests must be submitted to support@acme.example.\nApproval is required from the Customer Success Manager.\nEnterprise Discounts\nEnterprise discounts above 20% require VP Sales approval.\nDiscounts up to 20% may be approved by account executives.\nData Retention\nCustomer data is retained for 7 years per regulatory requirements.', 'DocQuery Citation: document_id=tmprjw4aac0; source_file=company_policy.pdf; page_start=1; page_end=1; section_path=Document; chunk_index=0\n\nAcme Corp — Company Policy\nRefund Policy\nCustomers may request a refund within 30 days of purchase.\nRefund requests must be submitted to support@acme.example.\nApproval is required from the Customer Success Manager.\nEnterprise Discounts\nEnterprise discounts above 20% require VP Sales approval.\nDiscounts up to 20% may be approved by account executives.\nData Retention\nCustomer data is retained for 7 years per regulatory requirements.', 'DocQuery Citation: document_id=tmpvg87mvdw; source_file=company_policy.pdf; page_start=1; page_end=1; section_path=Document; chunk_index=0\n\nAcme Corp — Company Policy\nRefund Policy\nCustomers may request a refund within 30 days of purchase.\nRefund requests must be submitted to support@acme.example.\nApproval is required from the Customer Success Manager.\nEnterprise Discounts\nEnterprise discounts above 20% require VP Sales approval.\nDiscounts up to 20% may be approved by account executives.\nData Retention\nCustomer data is retained for 7 years per regulatory requirements.', 'Acme Corp  Company Policy\nRefund Policy\nCustomers may request a refund within 30 days of purchase.\nRefund requests must be submitted to support@acme.example.\nApproval is required from the Customer Success Manager.\nEnterprise Discounts\nEnterprise discounts above 20% require VP Sales approval.\nDiscounts up to 20% may be approved by account executives.\nData Retention\nCustomer data is retained for 7 years per regulatory requirements.', 'Acme Corp  Support History Sample\nTicket #1001: Customer requested refund on 2024-01-15. Approved within policy.\nTicket #1002: Enterprise discount requested (25%). Escalated to VP Sales.\nTicket #1003: Data export request. Processed per retention policy.\nTicket #1004: Billing dispute. Resolved by account executive.']","Customers may request a refund within 30 days of purchase [d582423], [854c62d], [1e8be53], [93033bd]. Refund requests must be submitted to support@acme.example [d582423], [854c62d], [1e8be53], [93033bd]. Approval is required from the Customer Success Manager [d582423], [854c62d], [1e8be53], [93033bd].
","The answer should state the 30-day refund window, the requirement to contact support@acme.example, and that approval from the Customer Success Manager is required. Based only on the uploaded policy document.
",0.7641631866282851,0.999999999975,1.0
refund_approval,Who has to approve a customer refund?,"['DocQuery Citation: document_id=tmpvg87mvdw; source_file=company_policy.pdf; page_start=1; page_end=1; section_path=Document; chunk_index=0\n\nAcme Corp — Company Policy\nRefund Policy\nCustomers may request a refund within 30 days of purchase.\nRefund requests must be submitted to support@acme.example.\nApproval is required from the Customer Success Manager.\nEnterprise Discounts\nEnterprise discounts above 20% require VP Sales approval.\nDiscounts up to 20% may be approved by account executives.\nData Retention\nCustomer data is retained for 7 years per regulatory requirements.', 'DocQuery Citation: document_id=tmpfxdrb1rw; source_file=company_policy.pdf; page_start=1; page_end=1; section_path=Document; chunk_index=0\n\nAcme Corp — Company Policy\nRefund Policy\nCustomers may request a refund within 30 days of purchase.\nRefund requests must be submitted to support@acme.example.\nApproval is required from the Customer Success Manager.\nEnterprise Discounts\nEnterprise discounts above 20% require VP Sales approval.\nDiscounts up to 20% may be approved by account executives.\nData Retention\nCustomer data is retained for 7 years per regulatory requirements.', 'DocQuery Citation: document_id=tmprjw4aac0; source_file=company_policy.pdf; page_start=1; page_end=1; section_path=Document; chunk_index=0\n\nAcme Corp — Company Policy\nRefund Policy\nCustomers may request a refund within 30 days of purchase.\nRefund requests must be submitted to support@acme.example.\nApproval is required from the Customer Success Manager.\nEnterprise Discounts\nEnterprise discounts above 20% require VP Sales approval.\nDiscounts up to 20% may be approved by account executives.\nData Retention\nCustomer data is retained for 7 years per regulatory requirements.', 'Acme Corp  Company Policy\nRefund Policy\nCustomers may request a refund within 30 days of purchase.\nRefund requests must be submitted to support@acme.example.\nApproval is required from the Customer Success Manager.\nEnterprise Discounts\nEnterprise discounts above 20% require VP Sales approval.\nDiscounts up to 20% may be approved by account executives.\nData Retention\nCustomer data is retained for 7 years per regulatory requirements.', 'Acme Corp  Support History Sample\nTicket #1001: Customer requested refund on 2024-01-15. Approved within policy.\nTicket #1002: Enterprise discount requested (25%). Escalated to VP Sales.\nTicket #1003: Data export request. Processed per retention policy.\nTicket #1004: Billing dispute. Resolved by account executive.']","The Customer Success Manager has to approve a customer refund [1e8be53], [d582423], [854c62d], [93033bd].
","The answer should identify the Customer Success Manager as the approver for refunds. It should cite the uploaded company policy document and avoid inventing other approval paths.
",0.8874751110411635,0.999999999975,1.0
enterprise_discount,Who can approve an enterprise discount above 20%?,"['DocQuery Citation: document_id=tmprjw4aac0; source_file=company_policy.pdf; page_start=1; page_end=1; section_path=Document; chunk_index=0\n\nAcme Corp — Company Policy\nRefund Policy\nCustomers may request a refund within 30 days of purchase.\nRefund requests must be submitted to support@acme.example.\nApproval is required from the Customer Success Manager.\nEnterprise Discounts\nEnterprise discounts above 20% require VP Sales approval.\nDiscounts up to 20% may be approved by account executives.\nData Retention\nCustomer data is retained for 7 years per regulatory requirements.', 'DocQuery Citation: document_id=tmpfxdrb1rw; source_file=company_policy.pdf; page_start=1; page_end=1; section_path=Document; chunk_index=0\n\nAcme Corp — Company Policy\nRefund Policy\nCustomers may request a refund within 30 days of purchase.\nRefund requests must be submitted to support@acme.example.\nApproval is required from the Customer Success Manager.\nEnterprise Discounts\nEnterprise discounts above 20% require VP Sales approval.\nDiscounts up to 20% may be approved by account executives.\nData Retention\nCustomer data is retained for 7 years per regulatory requirements.', 'DocQuery Citation: document_id=tmpvg87mvdw; source_file=company_policy.pdf; page_start=1; page_end=1; section_path=Document; chunk_index=0\n\nAcme Corp — Company Policy\nRefund Policy\nCustomers may request a refund within 30 days of purchase.\nRefund requests must be submitted to support@acme.example.\nApproval is required from the Customer Success Manager.\nEnterprise Discounts\nEnterprise discounts above 20% require VP Sales approval.\nDiscounts up to 20% may be approved by account executives.\nData Retention\nCustomer data is retained for 7 years per regulatory requirements.', 'Acme Corp  Company Policy\nRefund Policy\nCustomers may request a refund within 30 days of purchase.\nRefund requests must be submitted to support@acme.example.\nApproval is required from the Customer Success Manager.\nEnterprise Discounts\nEnterprise discounts above 20% require VP Sales approval.\nDiscounts up to 20% may be approved by account executives.\nData Retention\nCustomer data is retained for 7 years per regulatory requirements.', 'Acme Corp  Support History Sample\nTicket #1001: Customer requested refund on 2024-01-15. Approved within policy.\nTicket #1002: Enterprise discount requested (25%). Escalated to VP Sales.\nTicket #1003: Data export request. Processed per retention policy.\nTicket #1004: Billing dispute. Resolved by account executive.']","The VP Sales can approve enterprise discounts above 20% [854c62d], [d582423], [1e8be53], [93033bd].
","The answer should identify VP Sales as the approver for discounts above 20%, and account executives for discounts up to 20%. Based only on the uploaded policy document.
",0.9294682764615905,0.99999999998,1.0
pro_plan_price,What does the Pro plan cost and what support does it include?,"['Acme Corp  Pricing Table\nPlan\nPrice/mo\nUsers\nSupport\nStarter\n$29\n1\nEmail\nPro\n$99\n5\nEmail + Chat\nBusiness\n$299\n25\nPriority\nEnterprise\nCustom\nUnlimited\nDedicated CSM', 'Acme Corp  Support History Sample\nTicket #1001: Customer requested refund on 2024-01-15. Approved within policy.\nTicket #1002: Enterprise discount requested (25%). Escalated to VP Sales.\nTicket #1003: Data export request. Processed per retention policy.\nTicket #1004: Billing dispute. Resolved by account executive.', 'DocQuery Citation: document_id=tmprjw4aac0; source_file=company_policy.pdf; page_start=1; page_end=1; section_path=Document; chunk_index=0\n\nAcme Corp — Company Policy\nRefund Policy\nCustomers may request a refund within 30 days of purchase.\nRefund requests must be submitted to support@acme.example.\nApproval is required from the Customer Success Manager.\nEnterprise Discounts\nEnterprise discounts above 20% require VP Sales approval.\nDiscounts up to 20% may be approved by account executives.\nData Retention\nCustomer data is retained for 7 years per regulatory requirements.', 'DocQuery Citation: document_id=tmpfxdrb1rw; source_file=company_policy.pdf; page_start=1; page_end=1; section_path=Document; chunk_index=0\n\nAcme Corp — Company Policy\nRefund Policy\nCustomers may request a refund within 30 days of purchase.\nRefund requests must be submitted to support@acme.example.\nApproval is required from the Customer Success Manager.\nEnterprise Discounts\nEnterprise discounts above 20% require VP Sales approval.\nDiscounts up to 20% may be approved by account executives.\nData Retention\nCustomer data is retained for 7 years per regulatory requirements.', 'DocQuery Citation: document_id=tmpvg87mvdw; source_file=company_policy.pdf; page_start=1; page_end=1; section_path=Document; chunk_index=0\n\nAcme Corp — Company Policy\nRefund Policy\nCustomers may request a refund within 30 days of purchase.\nRefund requests must be submitted to support@acme.example.\nApproval is required from the Customer Success Manager.\nEnterprise Discounts\nEnterprise discounts above 20% require VP Sales approval.\nDiscounts up to 20% may be approved by account executives.\nData Retention\nCustomer data is retained for 7 years per regulatory requirements.']","The Pro plan costs $99 per month and includes email and chat support [12284ec].
","The Pro plan costs $99 per month, supports 5 users, and includes email and chat support. Based only on the uploaded pricing document.
",0.8072677378201737,0.9999999999,1.0
enterprise_plan_support,What support level comes with the Enterprise plan?,"['Acme Corp  Pricing Table\nPlan\nPrice/mo\nUsers\nSupport\nStarter\n$29\n1\nEmail\nPro\n$99\n5\nEmail + Chat\nBusiness\n$299\n25\nPriority\nEnterprise\nCustom\nUnlimited\nDedicated CSM', 'Acme Corp  Support History Sample\nTicket #1001: Customer requested refund on 2024-01-15. Approved within policy.\nTicket #1002: Enterprise discount requested (25%). Escalated to VP Sales.\nTicket #1003: Data export request. Processed per retention policy.\nTicket #1004: Billing dispute. Resolved by account executive.', 'DocQuery Citation: document_id=tmprjw4aac0; source_file=company_policy.pdf; page_start=1; page_end=1; section_path=Document; chunk_index=0\n\nAcme Corp — Company Policy\nRefund Policy\nCustomers may request a refund within 30 days of purchase.\nRefund requests must be submitted to support@acme.example.\nApproval is required from the Customer Success Manager.\nEnterprise Discounts\nEnterprise discounts above 20% require VP Sales approval.\nDiscounts up to 20% may be approved by account executives.\nData Retention\nCustomer data is retained for 7 years per regulatory requirements.', 'DocQuery Citation: document_id=tmpfxdrb1rw; source_file=company_policy.pdf; page_start=1; page_end=1; section_path=Document; chunk_index=0\n\nAcme Corp — Company Policy\nRefund Policy\nCustomers may request a refund within 30 days of purchase.\nRefund requests must be submitted to support@acme.example.\nApproval is required from the Customer Success Manager.\nEnterprise Discounts\nEnterprise discounts above 20% require VP Sales approval.\nDiscounts up to 20% may be approved by account executives.\nData Retention\nCustomer data is retained for 7 years per regulatory requirements.', 'DocQuery Citation: document_id=tmpvg87mvdw; source_file=company_policy.pdf; page_start=1; page_end=1; section_path=Document; chunk_index=0\n\nAcme Corp — Company Policy\nRefund Policy\nCustomers may request a refund within 30 days of purchase.\nRefund requests must be submitted to support@acme.example.\nApproval is required from the Customer Success Manager.\nEnterprise Discounts\nEnterprise discounts above 20% require VP Sales approval.\nDiscounts up to 20% may be approved by account executives.\nData Retention\nCustomer data is retained for 7 years per regulatory requirements.']","The Enterprise plan comes with ""Dedicated CSM"" support [12284ec].
","The answer should identify the Enterprise plan support level from the uploaded pricing table and should not substitute Pro-plan support details.
",0.8660383641449003,0.9999999999,1.0
starter_plan_limits,How many users are included in the Starter plan?,"['Acme Corp  Pricing Table\nPlan\nPrice/mo\nUsers\nSupport\nStarter\n$29\n1\nEmail\nPro\n$99\n5\nEmail + Chat\nBusiness\n$299\n25\nPriority\nEnterprise\nCustom\nUnlimited\nDedicated CSM', 'Acme Corp  Support History Sample\nTicket #1001: Customer requested refund on 2024-01-15. Approved within policy.\nTicket #1002: Enterprise discount requested (25%). Escalated to VP Sales.\nTicket #1003: Data export request. Processed per retention policy.\nTicket #1004: Billing dispute. Resolved by account executive.', 'Acme Corp  System Architecture Report\nThe following diagram shows the system architecture:\nFigure 1: System architecture showing Web UI, API, and R2R components.\nKey components:\n- Web UI (port 3000): Next.js frontend for user interaction\n- API (port 8000): FastAPI wrapper handling business logic\n- R2R (port 7272): Vector store and RAG retrieval engine', 'Acme Corp  System Architecture Report\nThe following diagram shows the system architecture:\nFigure 1: System architecture showing Web UI, API, and R2R components.\nKey components:\n- Web UI (port 3000): Next.js frontend for user interaction\n- API (port 8000): FastAPI wrapper handling business logic\n- R2R (port 7272): Vector store and RAG retrieval engine', 'Acme Corp  System Architecture Report\nThe following diagram shows the system architecture:\nFigure 1: System architecture showing Web UI, API, and R2R components.\nKey components:\n- Web UI (port 3000): Next.js frontend for user interaction\n- API (port 8000): FastAPI wrapper handling business logic\n- R2R (port 7272): Vector store and RAG retrieval engine']","The Starter plan includes 1 user [12284ec].
","The answer should state the Starter plan user limit from the uploaded pricing table and avoid adding unsupported limits or features.
",0.8793236039518515,0.9999999999,
ingestion_stack,What components make up the document ingestion and question-answering stack?,"['Acme Corp  System Architecture Report\nThe following diagram shows the system architecture:\nFigure 1: System architecture showing Web UI, API, and R2R components.\nKey components:\n- Web UI (port 3000): Next.js frontend for user interaction\n- API (port 8000): FastAPI wrapper handling business logic\n- R2R (port 7272): Vector store and RAG retrieval engine', 'Acme Corp  System Architecture Report\nThe following diagram shows the system architecture:\nFigure 1: System architecture showing Web UI, API, and R2R components.\nKey components:\n- Web UI (port 3000): Next.js frontend for user interaction\n- API (port 8000): FastAPI wrapper handling business logic\n- R2R (port 7272): Vector store and RAG retrieval engine', 'Acme Corp  System Architecture Report\nThe following diagram shows the system architecture:\nFigure 1: System architecture showing Web UI, API, and R2R components.\nKey components:\n- Web UI (port 3000): Next.js frontend for user interaction\n- API (port 8000): FastAPI wrapper handling business logic\n- R2R (port 7272): Vector store and RAG retrieval engine', 'Acme Corp  System Architecture Report\nThe following diagram shows the system architecture:\nFigure 1: System architecture showing Web UI, API, and R2R components.\nKey components:\n- Web UI (port 3000): Next.js frontend for user interaction\n- API (port 8000): FastAPI wrapper handling business logic\n- R2R (port 7272): Vector store and RAG retrieval engine', 'Figure index for tmpv7g2gvdd\nFigure ID: tmpv7g2gvdd_p001_fig001_01\nContent type: figure\nSource file: architecture_report.pdf\nPage: 1\nImage URL: /figures/tmpv7g2gvdd/tmpv7g2gvdd_p001_fig001_01.png\nCaption: Figure 1: System architecture showing Web UI, API, and R2R components.\nOCR text: WebUl :3000']","The document ingestion and question-answering stack consists of the following components: Web UI, API, and R2R [8d1010e], [e691aae], [ecabc1c], [44901e7]. The Web UI (port 3000) is a Next.js frontend for user interaction. The API (port 8000) is a FastAPI wrapper handling business logic. The R2R (port 7272) is a vector store and RAG retrieval engine [8d1010e], [e691aae], [ecabc1c], [44901e7].
","The answer should describe the DocQuery architecture using the uploaded architecture report: ingestion/parsing/chunking, R2R retrieval, FastAPI, Next.js UI, and RAGAS evaluation.
",0.899146718134009,0.99999999998,
evaluation_metrics,Which evaluation metrics are used to judge RAG answer quality?,"['Acme Corp  System Architecture Report\nThe following diagram shows the system architecture:\nFigure 1: System architecture showing Web UI, API, and R2R components.\nKey components:\n- Web UI (port 3000): Next.js frontend for user interaction\n- API (port 8000): FastAPI wrapper handling business logic\n- R2R (port 7272): Vector store and RAG retrieval engine', 'Acme Corp  System Architecture Report\nThe following diagram shows the system architecture:\nFigure 1: System architecture showing Web UI, API, and R2R components.\nKey components:\n- Web UI (port 3000): Next.js frontend for user interaction\n- API (port 8000): FastAPI wrapper handling business logic\n- R2R (port 7272): Vector store and RAG retrieval engine', 'Acme Corp  System Architecture Report\nThe following diagram shows the system architecture:\nFigure 1: System architecture showing Web UI, API, and R2R components.\nKey components:\n- Web UI (port 3000): Next.js frontend for user interaction\n- API (port 8000): FastAPI wrapper handling business logic\n- R2R (port 7272): Vector store and RAG retrieval engine', 'Acme Corp  System Architecture Report\nThe following diagram shows the system architecture:\nFigure 1: System architecture showing Web UI, API, and R2R components.\nKey components:\n- Web UI (port 3000): Next.js frontend for user interaction\n- API (port 8000): FastAPI wrapper handling business logic\n- R2R (port 7272): Vector store and RAG retrieval engine', 'DocQuery Citation: document_id=tmprjw4aac0; source_file=company_policy.pdf; page_start=1; page_end=1; section_path=Document; chunk_index=0\n\nAcme Corp — Company Policy\nRefund Policy\nCustomers may request a refund within 30 days of purchase.\nRefund requests must be submitted to support@acme.example.\nApproval is required from the Customer Success Manager.\nEnterprise Discounts\nEnterprise discounts above 20% require VP Sales approval.\nDiscounts up to 20% may be approved by account executives.\nData Retention\nCustomer data is retained for 7 years per regulatory requirements.']","I am sorry, but the provided context does not contain information about evaluation metrics used to judge RAG (Retrieval-Augmented Generation) answer quality.
","The answer should identify RAGAS metrics such as faithfulness, answer relevancy, and context precision, based only on the uploaded architecture or evaluation material.
",0.0,0.0,0.5
figure_pipeline,How are figures handled during ingestion?,"['Figure index for tmpv7g2gvdd\nFigure ID: tmpv7g2gvdd_p001_fig001_01\nContent type: figure\nSource file: architecture_report.pdf\nPage: 1\nImage URL: /figures/tmpv7g2gvdd/tmpv7g2gvdd_p001_fig001_01.png\nCaption: Figure 1: System architecture showing Web UI, API, and R2R components.\nOCR text: WebUl :3000', 'DocQuery Citation: document_id=tmpvg87mvdw; source_file=company_policy.pdf; page_start=1; page_end=1; section_path=Document; chunk_index=0\n\nAcme Corp — Company Policy\nRefund Policy\nCustomers may request a refund within 30 days of purchase.\nRefund requests must be submitted to support@acme.example.\nApproval is required from the Customer Success Manager.\nEnterprise Discounts\nEnterprise discounts above 20% require VP Sales approval.\nDiscounts up to 20% may be approved by account executives.\nData Retention\nCustomer data is retained for 7 years per regulatory requirements.', 'DocQuery Citation: document_id=tmprjw4aac0; source_file=company_policy.pdf; page_start=1; page_end=1; section_path=Document; chunk_index=0\n\nAcme Corp — Company Policy\nRefund Policy\nCustomers may request a refund within 30 days of purchase.\nRefund requests must be submitted to support@acme.example.\nApproval is required from the Customer Success Manager.\nEnterprise Discounts\nEnterprise discounts above 20% require VP Sales approval.\nDiscounts up to 20% may be approved by account executives.\nData Retention\nCustomer data is retained for 7 years per regulatory requirements.', 'DocQuery Citation: document_id=tmpfxdrb1rw; source_file=company_policy.pdf; page_start=1; page_end=1; section_path=Document; chunk_index=0\n\nAcme Corp — Company Policy\nRefund Policy\nCustomers may request a refund within 30 days of purchase.\nRefund requests must be submitted to support@acme.example.\nApproval is required from the Customer Success Manager.\nEnterprise Discounts\nEnterprise discounts above 20% require VP Sales approval.\nDiscounts up to 20% may be approved by account executives.\nData Retention\nCustomer data is retained for 7 years per regulatory requirements.', 'Acme Corp  System Architecture Report\nThe following diagram shows the system architecture:\nFigure 1: System architecture showing Web UI, API, and R2R components.\nKey components:\n- Web UI (port 3000): Next.js frontend for user interaction\n- API (port 8000): FastAPI wrapper handling business logic\n- R2R (port 7272): Vector store and RAG retrieval engine']","During ingestion, figures are indexed with information such as Figure ID, content type, source file, page number, image URL, and caption [783bd64]. The OCR text from the figure is also extracted [783bd64].
","The answer should explain that figures are extracted during ingestion, stored under the figure asset directory, described in a manifest, and attached to answers when matched by citation or retrieved figure text.
",0.868072358195186,0.0,
unsupported_ceo_phone,What is the CEO's personal phone number?,"['Acme Corp  Pricing Table\nPlan\nPrice/mo\nUsers\nSupport\nStarter\n$29\n1\nEmail\nPro\n$99\n5\nEmail + Chat\nBusiness\n$299\n25\nPriority\nEnterprise\nCustom\nUnlimited\nDedicated CSM', 'DocQuery Citation: document_id=tmprjw4aac0; source_file=company_policy.pdf; page_start=1; page_end=1; section_path=Document; chunk_index=0\n\nAcme Corp — Company Policy\nRefund Policy\nCustomers may request a refund within 30 days of purchase.\nRefund requests must be submitted to support@acme.example.\nApproval is required from the Customer Success Manager.\nEnterprise Discounts\nEnterprise discounts above 20% require VP Sales approval.\nDiscounts up to 20% may be approved by account executives.\nData Retention\nCustomer data is retained for 7 years per regulatory requirements.', 'DocQuery Citation: document_id=tmpfxdrb1rw; source_file=company_policy.pdf; page_start=1; page_end=1; section_path=Document; chunk_index=0\n\nAcme Corp — Company Policy\nRefund Policy\nCustomers may request a refund within 30 days of purchase.\nRefund requests must be submitted to support@acme.example.\nApproval is required from the Customer Success Manager.\nEnterprise Discounts\nEnterprise discounts above 20% require VP Sales approval.\nDiscounts up to 20% may be approved by account executives.\nData Retention\nCustomer data is retained for 7 years per regulatory requirements.', 'DocQuery Citation: document_id=tmpvg87mvdw; source_file=company_policy.pdf; page_start=1; page_end=1; section_path=Document; chunk_index=0\n\nAcme Corp — Company Policy\nRefund Policy\nCustomers may request a refund within 30 days of purchase.\nRefund requests must be submitted to support@acme.example.\nApproval is required from the Customer Success Manager.\nEnterprise Discounts\nEnterprise discounts above 20% require VP Sales approval.\nDiscounts up to 20% may be approved by account executives.\nData Retention\nCustomer data is retained for 7 years per regulatory requirements.', 'Acme Corp  Company Policy\nRefund Policy\nCustomers may request a refund within 30 days of purchase.\nRefund requests must be submitted to support@acme.example.\nApproval is required from the Customer Success Manager.\nEnterprise Discounts\nEnterprise discounts above 20% require VP Sales approval.\nDiscounts up to 20% may be approved by account executives.\nData Retention\nCustomer data is retained for 7 years per regulatory requirements.']","I'm sorry, but I cannot provide you with the CEO's personal phone number. The provided documents [854c62d], [d582423], [1e8be53], [93033bd], and [12284ec] do not contain that information.
","The system should refuse or state the answer is not available in the provided context. It must not hallucinate contact information.
",0.0,,
